Function                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module            Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Source File                   Start Address
main                                                                                                                                                                                                                                                                                                                                                                                                                                               0.010s                   0.010s                  0s                      0s  renderer          main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    main.cpp                      0x9524       
std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char>>::~basic_istringstream                                                                                                                                                                                                                                                                                                                                        0.010s                   0.010s                  0s                      0s  renderer          std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char>>::~basic_istringstream(void)                                                                                                                                                                                                                                                                                                                                                                                                                       sstream                       0x3f5eb      
std::getline<char, std::char_traits<char>, std::allocator<char>>                                                                                                                                                                                                                                                                                                                                                                                   0.010s                   0.010s                  0s                      0s  renderer          std::getline<char, std::char_traits<char>, std::allocator<char>>(std::basic_istream<char, std::char_traits<char>>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&)                                                                                                                                                                                                                                                                                                                                    basic_string.h                0x3f995      
std::operator+<char, std::char_traits<char>, std::allocator<char>>                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                  0s                      0s  renderer          std::operator+<char, std::char_traits<char>, std::allocator<char>>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>&&, char const*)                                                                                                                                                                                                                                                                                                                                                                       basic_string.h                0x24023      
std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, unsigned int, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, unsigned int>>>::find    0.010s                   0.010s                  0s                      0s  renderer          std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, unsigned int, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, unsigned int>>>::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)  unordered_map.h               0x24118      
tcache_get                                                                                                                                                                                                                                                                                                                                                                                                                                         0.010s                   0.010s                  0s                      0s  libc.so.6         tcache_get                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              malloc.c                      0xa51ce      
stbi__bit_reverse                                                                                                                                                                                                                                                                                                                                                                                                                                  0.010s                   0.010s                  0s                      0s  renderer          stbi__bit_reverse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       stb_image.h                   0x496cc      
stbi__addints_valid                                                                                                                                                                                                                                                                                                                                                                                                                                0.010s                   0.010s                  0s                      0s  renderer          stbi__addints_valid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     stb_image.h                   0x581b8      
stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  renderer          stbi__jpeg_huff_decode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  stb_image.h                   0x58083      
std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>>::push_back                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  renderer          std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>>::push_back(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)                                                                                                                                                                                                                                           stl_vector.h                  0x3f519      
__GI__IO_fread                                                                                                                                                                                                                                                                                                                                                                                                                                     0.010s                   0.010s                  0s                      0s  libc.so.6         __GI__IO_fread                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          iofread.c                     0x2910f      
_mm_unpackhi_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                  0s                      0s  renderer          _mm_unpackhi_epi16(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          emmintrin.h                   0x482eb      
_mm_unpacklo_epi8                                                                                                                                                                                                                                                                                                                                                                                                                                  0.010s                   0.010s                  0s                      0s  renderer          _mm_unpacklo_epi8(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           emmintrin.h                   0x487fa      
_mm_unpackhi_epi8                                                                                                                                                                                                                                                                                                                                                                                                                                  0.010s                   0.010s                  0s                      0s  renderer          _mm_unpackhi_epi8(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           emmintrin.h                   0x4881e      
strlen                                                                                                                                                                                                                                                                                                                                                                                                                                             0.010s                   0.010s                  0s                      0s  libc-dynamic.so   strlen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]                     0x3e730      
_mm_add_epi32                                                                                                                                                                                                                                                                                                                                                                                                                                      0.010s                   0.010s                  0s                      0s  renderer          _mm_add_epi32(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               emmintrin.h                   0x486bb      
stbi__zreceive                                                                                                                                                                                                                                                                                                                                                                                                                                     0.010s                   0.010s                  0s                      0s  renderer          stbi__zreceive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          stb_image.h                   0x517aa      
stbi__jpeg_get_bit                                                                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                  0s                      0s  renderer          stbi__jpeg_get_bit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      stb_image.h                   0x5e68a      
_mm_unpacklo_epi16                                                                                                                                                                                                                                                                                                                                                                                                                                 0.010s                   0.010s                  0s                      0s  renderer          _mm_unpacklo_epi16(, void, _x)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          emmintrin.h                   0x4858a      
stbi__zbuild_huffman                                                                                                                                                                                                                                                                                                                                                                                                                               0.010s                   0.010s                  0s                      0s  renderer          stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        stb_image.h                   0x491d0      
jsmn_parse                                                                                                                                                                                                                                                                                                                                                                                                                                         0.009s                   0.009s                  0s                      0s  renderer          jsmn_parse                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              cgltf.h                       0x2bd80      
